"","year","month","neighbourhood","num_reviews","date"
"302","2016","03","Bijlmer-Centrum",12,2016-03-01
"303","2016","03","Bijlmer-Oost",9,2016-03-01
"304","2016","03","Bos en Lommer",132,2016-03-01
"305","2016","03","Buitenveldert - Zuidas",31,2016-03-01
"306","2016","03","Centrum-Oost",441,2016-03-01
"307","2016","03","Centrum-West",642,2016-03-01
"308","2016","03","De Aker - Nieuw Sloten",37,2016-03-01
"309","2016","03","De Baarsjes - Oud-West",593,2016-03-01
"310","2016","03","De Pijp - Rivierenbuurt",492,2016-03-01
"311","2016","03","Gaasperdam - Driemond",16,2016-03-01
"312","2016","03","Geuzenveld - Slotermeer",13,2016-03-01
"313","2016","03","IJburg - Zeeburgereiland",63,2016-03-01
"314","2016","03","Noord-Oost",20,2016-03-01
"315","2016","03","Noord-West",81,2016-03-01
"316","2016","03","Oostelijk Havengebied - Indische Buurt",180,2016-03-01
"317","2016","03","Osdorp",13,2016-03-01
"318","2016","03","Oud-Noord",139,2016-03-01
"319","2016","03","Oud-Oost",200,2016-03-01
"320","2016","03","Slotervaart",76,2016-03-01
"321","2016","03","Watergraafsmeer",69,2016-03-01
"322","2016","03","Westerpark",299,2016-03-01
"323","2016","03","Zuid",191,2016-03-01
"324","2016","04","Bijlmer-Centrum",19,2016-04-01
"325","2016","04","Bijlmer-Oost",15,2016-04-01
"326","2016","04","Bos en Lommer",210,2016-04-01
"327","2016","04","Buitenveldert - Zuidas",53,2016-04-01
"328","2016","04","Centrum-Oost",517,2016-04-01
"329","2016","04","Centrum-West",792,2016-04-01
"330","2016","04","De Aker - Nieuw Sloten",41,2016-04-01
"331","2016","04","De Baarsjes - Oud-West",754,2016-04-01
"332","2016","04","De Pijp - Rivierenbuurt",568,2016-04-01
"333","2016","04","Gaasperdam - Driemond",25,2016-04-01
"334","2016","04","Geuzenveld - Slotermeer",24,2016-04-01
"335","2016","04","IJburg - Zeeburgereiland",75,2016-04-01
"336","2016","04","Noord-Oost",52,2016-04-01
"337","2016","04","Noord-West",99,2016-04-01
"338","2016","04","Oostelijk Havengebied - Indische Buurt",201,2016-04-01
"339","2016","04","Osdorp",32,2016-04-01
"340","2016","04","Oud-Noord",165,2016-04-01
"341","2016","04","Oud-Oost",218,2016-04-01
"342","2016","04","Slotervaart",111,2016-04-01
"343","2016","04","Watergraafsmeer",100,2016-04-01
"344","2016","04","Westerpark",400,2016-04-01
"345","2016","04","Zuid",287,2016-04-01
"346","2016","05","Bijlmer-Centrum",19,2016-05-01
"347","2016","05","Bijlmer-Oost",23,2016-05-01
"348","2016","05","Bos en Lommer",289,2016-05-01
"349","2016","05","Buitenveldert - Zuidas",49,2016-05-01
"350","2016","05","Centrum-Oost",652,2016-05-01
"351","2016","05","Centrum-West",881,2016-05-01
"352","2016","05","De Aker - Nieuw Sloten",57,2016-05-01
"353","2016","05","De Baarsjes - Oud-West",1073,2016-05-01
"354","2016","05","De Pijp - Rivierenbuurt",724,2016-05-01
"355","2016","05","Gaasperdam - Driemond",33,2016-05-01
"356","2016","05","Geuzenveld - Slotermeer",31,2016-05-01
"357","2016","05","IJburg - Zeeburgereiland",99,2016-05-01
"358","2016","05","Noord-Oost",79,2016-05-01
"359","2016","05","Noord-West",128,2016-05-01
"360","2016","05","Oostelijk Havengebied - Indische Buurt",252,2016-05-01
"361","2016","05","Osdorp",24,2016-05-01
"362","2016","05","Oud-Noord",185,2016-05-01
"363","2016","05","Oud-Oost",326,2016-05-01
"364","2016","05","Slotervaart",127,2016-05-01
"365","2016","05","Watergraafsmeer",180,2016-05-01
"366","2016","05","Westerpark",488,2016-05-01
"367","2016","05","Zuid",355,2016-05-01
"368","2016","06","Bijlmer-Centrum",20,2016-06-01
"369","2016","06","Bijlmer-Oost",13,2016-06-01
"370","2016","06","Bos en Lommer",221,2016-06-01
"371","2016","06","Buitenveldert - Zuidas",36,2016-06-01
"372","2016","06","Centrum-Oost",535,2016-06-01
"373","2016","06","Centrum-West",828,2016-06-01
"374","2016","06","De Aker - Nieuw Sloten",40,2016-06-01
"375","2016","06","De Baarsjes - Oud-West",781,2016-06-01
"376","2016","06","De Pijp - Rivierenbuurt",611,2016-06-01
"377","2016","06","Gaasperdam - Driemond",34,2016-06-01
"378","2016","06","Geuzenveld - Slotermeer",48,2016-06-01
"379","2016","06","IJburg - Zeeburgereiland",73,2016-06-01
"380","2016","06","Noord-Oost",66,2016-06-01
"381","2016","06","Noord-West",103,2016-06-01
"382","2016","06","Oostelijk Havengebied - Indische Buurt",172,2016-06-01
"383","2016","06","Osdorp",27,2016-06-01
"384","2016","06","Oud-Noord",124,2016-06-01
"385","2016","06","Oud-Oost",232,2016-06-01
"386","2016","06","Slotervaart",104,2016-06-01
"387","2016","06","Watergraafsmeer",114,2016-06-01
"388","2016","06","Westerpark",353,2016-06-01
"389","2016","06","Zuid",275,2016-06-01
"390","2016","07","Bijlmer-Centrum",23,2016-07-01
